"","airport","city","country","latitude","longitude"
"237","SIMON BOLIVAR INTERNATIONAL","CARACAS","VENEZUELA",10.603,-66.991
"238","CARAVELAS","CARAVELAS","BRAZIL",-17.652,-39.253
"239","CARDIFF","CARDIFF","WALES",51.397,-3.343
"240","ANTONIO ROLDAN BETANCOURT","CAREPA","COLOMBIA",7.812,-76.716
"241","CARNICOBAR","CARNICOBAR","INDIA",9.153,92.819
"242","CAROLINA","CAROLINA","BRAZIL",-7.32,-47.459
"243","CARORA","CARORA","VENEZUELA",10.176,-70.065
"244","CAPITAN MANUEL RIOS GUARICO AIRBASE","CARRIZAL","VENEZUELA",9.372,-66.923
"245","RAFAEL NUNEZ","CARTAGENA","COLOMBIA",10.442,-75.513
"246","SANTA ANA","CARTAGO","COLOMBIA",4.758,-75.956
"247","GENERAL JOSE FRANCISCO BERMUDEZ","CARUPANO","VENEZUELA",10.66,-63.262
"248","ANFA","CASABLANCA","MOROCCO",33.553,-7.661
"249","MOHAMMED V","CASABLANCA","MOROCCO",33.368,-7.588
"250","CASCAVEL","CASCAVEL","BRAZIL",-25,-53.501
"251","CASSAGNES BEGONHES","CASSAGNES-BEGHONES","FRANCE",44.177,2.515
"252","URUBUPUNGA","CASTILHO","BRAZIL",-20.777,-51.565
"253","CASTLEGAR","CASTLEGAR","CANADA",49.296,-117.632
"254","MAZAMET","CASTRES","FRANCE",43.556,2.289
"255","GAMBOA","CASTRO","CHILE",-42.491,-73.774
"256","CATAMARCA","CATAMARCA","ARGENTINA",-28.596,-65.752
"257","CATARMAN","CATARMAN","PHILIPPINES",12.502,124.636
"258","CAUAYAN","CAUAYAN","PHILIPPINES",16.93,121.753
"259","CAMPO DOS BUGRES","CAXIAS DO SUL","BRAZIL",-29.197,-51.188
"260","ROCHAMBEAU","CAYENNE","FRENCH GUYANA",4.82,-52.36
"261","CAZAUX","CAZAUX","FRANCE",44.533,-1.125
"262","COTABATO","CEBU","PHILIPPINES",7.165,124.21
"263","CHACHAPOYAS","CHACHAPOYAS","PERU",-6.202,-77.856
"264","CHAITEN","CHAITEN","CHILE",-42.933,-72.699
"265","CHAMPFORGEUIL","CHALON","FRANCE",46.826,4.817
"266","AIX LES BAINS","CHAMBERY","FRANCE",45.638,5.88
"267","CHALLES LES EAUX","CHAMBERY","FRANCE",45.561,5.976
"268","CHANDIGARH","CHANDIGARH","INDIA",30.673,76.788
"269","CHANDRAGADHI","CHANDRAGARHI","NEPAL",26.571,88.079
"270","CHIMORE","CHAPACURA","BOLIVIA",-16.99,-65.141
"271","CHAPECO","CHAPECO","BRAZIL",-27.134,-52.656
"272","CHAPLEAU","CHAPLEAU","CANADA",47.82,-83.346
"273","CHARANA","CHARANA","BOLIVIA",-17.594,-69.434
"274","BRUSSELS SOUTH","CHARLEROI","BELGIUM",50.459,4.454
"275","CHARLEVILLE","CHARLIEVILLE","AUSTRALIA",-26.413,146.262
"276","CHARLO","CHARLO","CANADA",47.991,-66.331
"277","MIRAMICHI","CHATHAM","CANADA",47.008,-65.449
"278","CHATHAM ISLANDS","CHATHAM ISLAND","NEW ZEALAND",-43.81,-176.457
"279","JEJU INTERNATIONAL","CHEJU","KOREA",33.511,126.493
"280","CHIANG KHAM","CHIANG RAI","THAILAND",19.497,100.286
"281","CAPT JOSE ABELARDO QUINONES GONZALES","CHICLAYO","PERU",-6.787,-79.828
"282","CHIEVRES AB","CHIEVRES","BELGIUM",50.576,3.831
"283","CHILE CHICO","CHILE CHICO","CHILE",-46.582,-71.698
"284","CHILECITO","CHILECITO","ARGENTINA",-29.224,-67.439
"285","GENERAL BERNARDO O HIGGINS","CHILLAN","CHILE",-36.583,-72.032
"286","CHILLIWACK","CHILLIWACK","CANADA",49.153,-121.939
"287","TENIENTE FAP JAIME A DE MONTR MORALES","CHIMBOTE","PERU",-9.151,-78.524
"288","CHIMOIO","CHIMOIO","MOZAMBIQUE",-19.151,33.429
"289","JINHAE","CHINHAE","KOREA",35.141,128.696
"290","SHAH AMANAT INTERNATIONAL","CHITTAGONG","BANGLADESH",22.249,91.813
"291","CHIVENOR","CHIVENOR","ENGLAND",51.087,-4.15
"292","LE PONTREAU","CHOLET","FRANCE",47.082,-0.877
"293","CHEONGJU INTERNATIONAL","CHONGJU","KOREA",36.716,127.499
"294","CHOS MALAL","CHOSMADAL","ARGENTINA",-37.444,-70.222
"295","CHRISTCHURCH INTERNATIONAL","CHRISTCHURCH","NEW ZEALAND",-43.489,172.532
"296","CHRISTMAS ISLAND","CHRISTMAS ISLAND","CHRISTMAS ISLAND",-10.451,105.69
